"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"项目名称：码尚教育B2C商城接口自动化测试","我的订单","订单取消接口","0","0","1","0","0"
"项目名称：码尚教育B2C商城接口自动化测试","用户相关","登陆b2c商城接口","0","0","3","0","0"
"项目名称：码尚教育B2C商城接口自动化测试","我的订单","订单详情接口","0","0","1","0","0"
"项目名称：码尚教育B2C商城接口自动化测试","下订单流程用例","登陆b2c商城接口","0","0","1","0","0"
"项目名称：码尚教育B2C商城接口自动化测试","MD5加密","MD5加密接口","0","0","1","0","0"
"项目名称：码尚教育B2C商城接口自动化测试","公众号模块","获取access_token鉴权码接口","0","0","1","0","0"
"项目名称：码尚教育B2C商城接口自动化测试","我的订单","订单列表接口","0","0","1","0","0"
"项目名称：码尚教育B2C商城接口自动化测试","BASE64加密","BASE64加密接口","0","0","1","0","0"
"项目名称：码尚教育B2C商城接口自动化测试","模块","接口","0","0","2","0","0"
"项目名称：码尚教育B2C商城接口自动化测试","RSA加密","RSA加密接口","0","0","1","0","0"
"项目名称：码尚教育B2C商城接口自动化测试","SIGN签名","SIGN签名接口","0","0","1","0","0"
